City,Borough,Year,RentPrice
All Upper Manhattan,Manhattan,2020,2400
All Upper Manhattan,Manhattan,2020,2350
All Upper Manhattan,Manhattan,2020,2295
All Upper Manhattan,Manhattan,2020,2250
All Upper Manhattan,Manhattan,2020,2208
All Upper Manhattan,Manhattan,2020,2200
All Upper Manhattan,Manhattan,2021,2200
All Upper Manhattan,Manhattan,2021,2178
All Upper Manhattan,Manhattan,2021,2188
All Upper Manhattan,Manhattan,2021,2200
All Upper Manhattan,Manhattan,2021,2250
All Upper Manhattan,Manhattan,2021,2295
All Upper Manhattan,Manhattan,2021,2300
All Upper Manhattan,Manhattan,2021,2300
All Upper Manhattan,Manhattan,2021,2300
All Upper Manhattan,Manhattan,2021,2300
All Upper Manhattan,Manhattan,2021,2300
All Upper Manhattan,Manhattan,2021,2350
All Upper Manhattan,Manhattan,2022,2396
All Upper Manhattan,Manhattan,2022,2400
All Upper Manhattan,Manhattan,2022,2415
All Upper Manhattan,Manhattan,2022,2500
All Upper Manhattan,Manhattan,2022,2550
All Upper Manhattan,Manhattan,2022,2700
All Upper Manhattan,Manhattan,2022,2795
All Upper Manhattan,Manhattan,2022,2750
All Upper Manhattan,Manhattan,2022,2700
All Upper Manhattan,Manhattan,2022,2700
All Upper Manhattan,Manhattan,2022,2675
All Upper Manhattan,Manhattan,2022,2600
All Upper West Side,Manhattan,2010,2895
All Upper West Side,Manhattan,2010,2800
All Upper West Side,Manhattan,2010,2750
All Upper West Side,Manhattan,2010,2800
All Upper West Side,Manhattan,2010,2800
All Upper West Side,Manhattan,2010,2795
All Upper West Side,Manhattan,2010,2800
All Upper West Side,Manhattan,2010,2895
All Upper West Side,Manhattan,2010,2995
All Upper West Side,Manhattan,2010,3050
All Upper West Side,Manhattan,2010,3000
All Upper West Side,Manhattan,2010,2995
All Upper West Side,Manhattan,2011,2995
All Upper West Side,Manhattan,2011,3000
All Upper West Side,Manhattan,2011,2950
All Upper West Side,Manhattan,2011,3000
All Upper West Side,Manhattan,2011,3000
All Upper West Side,Manhattan,2011,3100
All Upper West Side,Manhattan,2011,3100
All Upper West Side,Manhattan,2011,3200
All Upper West Side,Manhattan,2011,3250
All Upper West Side,Manhattan,2011,3342
All Upper West Side,Manhattan,2011,3386
All Upper West Side,Manhattan,2011,3495
All Upper West Side,Manhattan,2012,3300
All Upper West Side,Manhattan,2012,3200
All Upper West Side,Manhattan,2012,3049
All Upper West Side,Manhattan,2012,3150
All Upper West Side,Manhattan,2012,3200
All Upper West Side,Manhattan,2012,3200
All Upper West Side,Manhattan,2012,3250
All Upper West Side,Manhattan,2012,3300
All Upper West Side,Manhattan,2012,3325
All Upper West Side,Manhattan,2012,3350
All Upper West Side,Manhattan,2012,3350
All Upper West Side,Manhattan,2012,3300
All Upper West Side,Manhattan,2013,3200
All Upper West Side,Manhattan,2013,3250
All Upper West Side,Manhattan,2013,3200
All Upper West Side,Manhattan,2013,3200
All Upper West Side,Manhattan,2013,3250
All Upper West Side,Manhattan,2013,3150
All Upper West Side,Manhattan,2013,3200
All Upper West Side,Manhattan,2013,3250
All Upper West Side,Manhattan,2013,3285
All Upper West Side,Manhattan,2013,3300
All Upper West Side,Manhattan,2013,3200
All Upper West Side,Manhattan,2013,3230
All Upper West Side,Manhattan,2014,3200
All Upper West Side,Manhattan,2014,3195
All Upper West Side,Manhattan,2014,3200
All Upper West Side,Manhattan,2014,3295
All Upper West Side,Manhattan,2014,3299
All Upper West Side,Manhattan,2014,3280
All Upper West Side,Manhattan,2014,3200
All Upper West Side,Manhattan,2014,3200
All Upper West Side,Manhattan,2014,3295
All Upper West Side,Manhattan,2014,3300
All Upper West Side,Manhattan,2014,3280
All Upper West Side,Manhattan,2014,3250
All Upper West Side,Manhattan,2015,3285
All Upper West Side,Manhattan,2015,3300
All Upper West Side,Manhattan,2015,3250
All Upper West Side,Manhattan,2015,3300
All Upper West Side,Manhattan,2015,3350
All Upper West Side,Manhattan,2015,3395
All Upper West Side,Manhattan,2015,3415
All Upper West Side,Manhattan,2015,3495
All Upper West Side,Manhattan,2015,3550
All Upper West Side,Manhattan,2015,3500
All Upper West Side,Manhattan,2015,3500
All Upper West Side,Manhattan,2015,3495
All Upper West Side,Manhattan,2016,3430
All Upper West Side,Manhattan,2016,3425
All Upper West Side,Manhattan,2016,3439
All Upper West Side,Manhattan,2016,3450
All Upper West Side,Manhattan,2016,3475
All Upper West Side,Manhattan,2016,3447
All Upper West Side,Manhattan,2016,3475
All Upper West Side,Manhattan,2016,3400
All Upper West Side,Manhattan,2016,3450
All Upper West Side,Manhattan,2016,3425
All Upper West Side,Manhattan,2016,3395
All Upper West Side,Manhattan,2016,3345
All Upper West Side,Manhattan,2017,3299
All Upper West Side,Manhattan,2017,3300
All Upper West Side,Manhattan,2017,3250
